"","houseValue","income","houseAge","rooms","bedrooms","population","households","latitude","longitude"
"1",452600,8.3252,41,880,129,322,126,37.88,-122.23
"2",358500,8.3014,NA,7099,1106,2401,NA,37.86,-122.22
"3",352100,7.2574,52,1467,190,496,177,37.85,-122.24
"4",341300,5.6431,52,1274,235,558,219,37.85,-122.25
"5",342200,3.8462,52,1627,280,565,259,37.85,-122.25
"6",269700,4.0368,52,919,213,413,193,37.85,-122.25
"7",299200,3.6591,NA,2535,489,1094,514,37.84,-122.25
"8",241400,3.12,52,NA,687,1157,647,37.84,-122.25
"9",NA,2.0804,42,2555,665,1206,595,37.84,-122.26
"10",261100,3.6912,NA,3549,707,NA,714,37.84,-122.25
"11",281500,3.2031,52,2202,434,910,402,37.85,-122.26
"12",241800,3.2705,52,3503,752,1504,734,37.85,-122.26
"13",213500,3.075,52,2491,474,1098,468,37.85,-122.26
"14",191300,2.6736,52,696,191,345,174,37.84,-122.26
"15",159200,1.9167,52,2643,626,1212,620,37.85,-122.26
"16",140000,2.125,50,NA,283,697,264,37.85,-122.26
"17",152500,2.775,52,1966,347,793,331,37.85,-122.27
"18",155500,2.1202,52,1228,293,648,303,37.85,-122.27
"19",158700,1.9911,50,2239,455,990,419,37.84,-122.26
"20",162900,2.6033,52,1503,298,690,275,37.84,-122.27
"21",147500,NA,NA,751,184,409,166,37.85,-122.27
"22",159800,1.7135,42,1639,367,929,366,37.85,-122.27
"23",NA,1.725,52,2436,NA,1015,478,37.84,-122.27
"24",99700,2.1806,52,1688,337,853,NA,37.84,-122.27
"25",132600,2.6,52,2224,437,1006,422,37.84,-122.27
"26",107500,2.4038,41,535,123,317,119,37.85,-122.28
"27",93800,2.4597,49,1130,244,607,239,37.85,-122.28
"28",105500,1.808,52,1898,NA,1102,397,37.85,-122.28
"29",108900,1.6424,50,2082,NA,1131,NA,37.84,-122.28
"30",132000,1.6875,52,729,160,395,155,37.84,-122.28
"31",122300,1.9274,49,1916,447,863,378,37.84,-122.28
"32",115200,1.9615,52,2153,481,1168,441,37.84,-122.28
"33",110400,1.7969,48,1922,409,1026,335,37.84,-122.27
"34",104900,NA,49,1655,366,754,329,37.83,-122.27
"35",109700,NA,NA,NA,574,1258,536,37.83,-122.27
"36",97200,1.4861,49,1215,NA,570,264,37.83,-122.27
"37",104500,1.0972,48,1798,432,987,374,37.83,-122.27
"38",103900,1.4103,52,NA,390,901,403,37.83,-122.28
"39",191400,3.48,52,1470,330,689,309,37.83,-122.26
"40",176000,2.5898,52,2432,NA,1377,696,37.83,-122.26
"41",155400,2.0978,52,1665,419,946,395,37.83,-122.26
"42",150000,NA,51,NA,311,517,249,37.83,-122.26
"43",118800,1.025,49,713,NA,462,189,37.84,-122.26
"44",188800,3.9643,52,950,202,467,198,37.84,-122.26
"45",184400,NA,52,1443,311,660,292,37.83,-122.26
"46",182300,NA,52,1656,NA,718,382,37.83,-122.26
"47",142500,2.026,50,1125,322,616,304,37.83,-122.26
"48",137500,1.7348,43,1007,312,558,253,37.82,-122.27
"49",187500,0.9506,40,624,195,423,160,37.82,-122.26
"50",112500,1.775,40,946,375,700,352,37.82,-122.27
"51",171900,NA,21,896,453,735,NA,37.82,-122.27
"52",93800,1.5045,43,1868,456,1061,407,37.82,-122.27
"53",97500,1.1108,41,3221,853,NA,720,37.82,-122.27
"54",104200,1.2475,NA,1630,456,NA,400,37.82,-122.27
"55",87500,1.6098,52,1170,235,701,233,37.82,-122.28
"56",83100,1.4113,52,945,243,576,220,37.82,-122.28
"57",NA,1.5057,52,1238,288,622,259,37.82,-122.28
"58",85300,0.8172,52,1489,335,728,244,37.82,-122.28
"59",80300,1.2171,52,1387,341,1074,304,37.82,-122.28
"60",60000,2.5625,2,158,43,94,57,37.82,-122.29
"61",NA,3.3929,52,NA,211,554,187,37.83,-122.29
"62",75000,6.1183,49,135,29,86,23,37.82,-122.29
"63",NA,NA,50,760,190,NA,122,37.81,-122.29
"64",76100,NA,52,1224,237,521,NA,37.81,-122.3
"65",73500,2.5938,48,828,NA,392,133,37.81,-122.3
"66",NA,1.1667,52,1010,209,604,187,37.81,-122.3
"67",84400,0.8056,48,1455,354,788,332,37.81,-122.3
"68",81300,2.6094,52,1027,244,492,147,37.8,-122.29
"69",85000,NA,52,572,109,274,82,37.81,-122.3
"70",129200,0.9802,46,2801,644,1823,611,37.81,-122.29
"71",82500,1.7719,NA,NA,152,392,127,37.81,-122.29
"72",95200,0.7286,46,935,297,582,277,37.81,-122.29
"73",75000,1.75,49,844,204,560,152,37.81,-122.29
"74",67500,0.4999,NA,12,4,18,7,37.81,-122.29
"75",137500,2.483,20,835,161,290,133,37.81,-122.29
"76",NA,0.9241,NA,1237,462,762,439,37.81,-122.28
"77",NA,2.4464,36,2914,NA,1236,509,37.81,-122.28
"78",108300,1.1111,19,1207,243,721,207,37.81,-122.28
"79",112500,0.8026,23,1745,374,1054,325,37.81,-122.29
"80",131300,2.0114,38,684,176,344,155,37.8,-122.28
"81",162500,1.5,17,NA,NA,609,289,37.81,-122.28
"82",112500,1.1667,52,210,56,183,56,37.81,-122.27
"83",112500,1.5208,52,340,97,200,87,37.81,-122.28
"84",137500,0.8075,52,386,164,346,155,37.81,-122.28
"85",118800,1.8088,35,948,184,467,NA,37.81,-122.28
"86",98200,2.4083,52,773,143,377,115,37.81,-122.28
"87",118800,0.977,40,880,451,582,380,37.81,-122.27
"88",162500,0.76,10,875,348,546,330,37.81,-122.27
"89",137500,0.9722,10,105,NA,125,39,37.8,-122.27
"90",500001,1.2434,52,249,NA,396,NA,37.8,-122.27
"91",162500,2.0938,16,994,392,800,362,37.8,-122.27
"92",137500,0.8668,52,215,NA,904,88,37.8,-122.28
